wkt_geom,years,predicted,
"MultiPolygon (((773853.84363498049788177 1683807.14824191993102431, 773891.91362959530670196 1683704.8479508813470602, 773823.22443591896444559 1683658.20865215407684445, 773782.65816781716421247 1683780.9624384599737823, 773811.32355532422661781 1683793.47615190083160996, 773853.84363498049788177 1683807.14824191993102431)))",2021,2,
"MultiPolygon (((773584.00402052770368755 1684147.88235485414043069, 773629.01961118797771633 1683947.789533352246508, 773594.53437816863879561 1683936.53667777217924595, 773564.42408196604810655 1684038.5979585621971637, 773540.06283121614251286 1684145.48716618656180799, 773584.00402052770368755 1684147.88235485414043069)))",2021,2,
"MultiPolygon (((766685.25444193673320115 1686221.46139634004794061, 766594.15482684154994786 1686216.99131645890884101, 766555.96875985385850072 1686228.84525531390681863, 766562.10315770283341408 1686294.23474169801920652, 766687.78000847948715091 1686292.23469928163103759, 766685.25444193673320115 1686221.46139634004794061)))",2021,1,
"MultiPolygon (((773013.38865905697457492 1688578.07277381070889533, 773076.39059255388565361 1688521.45775655633769929, 773133.17286546505056322 1688500.42091771401464939, 773234.99906481779180467 1688469.50345571804791689, 773196.47038251755293459 1688418.5661960830911994, 773104.4470444074831903 1688447.605513921007514, 773017.65105234738439322 1688470.8382495732512325, 772975.88219354627653956 1688494.81864732736721635, 773013.38865905697457492 1688578.07277381070889533)))",2021,2,
"MultiPolygon (((770287.34742527105845511 1685776.09055671375244856, 770459.33260892517864704 1685757.92710794415324926, 770426.77347464486956596 1685682.48671226995065808, 770363.33339638088364154 1685684.07891970942728221, 770277.39867031970061362 1685734.67932901764288545, 770287.34742527105845511 1685776.09055671375244856)))",2021,1,
"MultiPolygon (((767652.29410824342630804 1685858.51692667114548385, 767654.69658385496586561 1685855.22303881868720055, 767741.50215389393270016 1685821.78438006388023496, 767695.37797996890731156 1685625.29651985340751708, 767424.02940572297666222 1685647.43743604887276888, 767448.07157042506150901 1685669.41162321227602661, 767434.4204102826770395 1685754.06092491955496371, 767445.39688801951706409 1685800.02103911433368921, 767524.99470765260048211 1685795.28434159676544368, 767537.06213074328843504 1685849.22826073179021478, 767652.29410824342630804 1685858.51692667114548385)))",2021,3,
"MultiPolygon (((770214.56745631946250796 1685981.51054227002896369, 770467.6590464097680524 1685939.70538266212679446, 770462.37693595397286117 1685847.97295301756821573, 770324.23681698576547205 1685867.52355620334856212, 770277.39867031970061362 1685734.67932901764288545, 770089.14414789993315935 1685858.60962433647364378, 770214.56745631946250796 1685981.51054227002896369)))",2021,1,
"MultiPolygon (((767994.04574697883799672 1686127.58334994618780911, 767948.68620868399739265 1686061.74371273047290742, 767907.29024948016740382 1685950.11471736780367792, 767921.57698650797829032 1685904.00054255104623735, 767789.05395540874451399 1685893.40554137551225722, 767790.83711055852472782 1685944.24281143234111369, 767828.71422254876233637 1685959.51164843537844718, 767806.32318720011971891 1686103.29194417432881892, 767877.41478393063880503 1686137.31924991752021015, 767883.41490406752564013 1686120.22753738798201084, 767939.82726564398035407 1686121.98047147784382105, 767994.04574697883799672 1686127.58334994618780911)))",2021,2,
"MultiPolygon (((762402.86771996575407684 1673446.90828200988471508, 762455.35846648435108364 1673475.05826703854836524, 762520.35499182716012001 1673307.17510255263186991, 762460.58171118260361254 1673285.9185255547054112, 762402.86771996575407684 1673446.90828200988471508)))",2021,1,
"MultiPolygon (((769666.57053648959845304 1680991.31693066679872572, 769408.37847812252584845 1681014.2595242909155786, 769420.35185815976001322 1681179.46992833749391139, 769501.89736313256435096 1681184.50235727918334305, 769568.36799790989607573 1681182.16560830199159682, 769666.61167695047333837 1681184.29040506039746106, 769666.57053648959845304 1680991.31693066679872572)))",2021,1,
"MultiPolygon (((763538.66025104478467256 1682045.08865791582502425, 763477.72048776876181364 1682034.10832764208316803, 763548.96515864774119109 1682209.16363418102264404, 763606.0815184450475499 1682206.37341205030679703, 763538.66025104478467256 1682045.08865791582502425)))",2021,1,
